JD,Filter,mag,magunc
2457816.96,ATLAS-c,20.17,-99.0
2458075.14,ATLAS-c,20.1,-99.0
2458131.04,ATLAS-o,20.32,-99.0
2458133.11,ATLAS-o,20.14,-99.0
2458135.13,ATLAS-c,20.21,-99.0
2458137.1,ATLAS-o,20.02,-99.0
2458148.14,ATLAS-o,20.0,-99.0
2458161.06,ATLAS-o,20.04,-99.0
2458163.06,ATLAS-c,20.41,-99.0
2458463.14,ATLAS-c,20.12,-99.0
2458471.09,ATLAS-o,20.3,-99.0
2458487.09,ATLAS-c,20.21,-99.0
2458493.07,ATLAS-o,20.1,-99.0
2458495.05,ATLAS-c,20.08,-99.0
2458499.04,ATLAS-o,20.35,0.34
2458511.02,ATLAS-o,20.1,-99.0
2458511.879,ZTF_r,20.68,0.25
2458513.02,ATLAS-o,18.59,0.07
2458513.93,ZTF_r,18.14,0.08
2458514.904,ZTF_r,18.13,0.13
2458514.958,ZTF_g,17.97,0.09
2458517.03,ATLAS-o,17.81,0.04
2458519.04,ATLAS-c,18.05,0.03
2458521.01,ATLAS-o,17.54,0.05
2458523.921,ZTF_g,17.82,0.16
2458526.92,ZTF_g,18.21,0.05
2458529.0,ATLAS-o,17.52,0.05
2458532.99,ATLAS-o,17.55,0.06
2458536.99,ATLAS-o,17.65,0.06
2458538.747,ZTF_r,17.66,0.06
2458538.795,ZTF_g,18.24,0.07
2458540.98,ATLAS-o,17.63,0.02
2458543.764,ZTF_r,17.63,0.03
2458543.779,ZTF_g,18.22,0.09
2458544.98,ATLAS-o,17.7,0.03
2458546.84,ATLAS-o,17.65,0.01
2458552.96,ATLAS-o,17.61,0.09
2458556.774,ZTF_r,17.79,0.02
2458556.871,ZTF_g,18.68,0.05
2458556.95,ATLAS-o,17.85,0.03
2458559.731,ZTF_r,17.88,0.03
2458560.92,ATLAS-o,17.92,0.08
2458567.733,ZTF_r,18.06,0.02
2458567.772,ZTF_g,18.96,0.05
2458568.93,ATLAS-o,18.08,0.06
2458570.93,ATLAS-o,18.19,0.04
2458572.754,ZTF_g,19.18,0.08
2458572.775,ZTF_r,18.13,0.05
2458572.93,ATLAS-o,18.2,0.08
2458575.731,ZTF_r,18.12,0.07
2458575.752,ZTF_g,19.13,0.07
2458576.92,ATLAS-o,18.17,0.05
2458578.92,ATLAS-c,18.97,0.07
2458580.729,ZTF_r,18.39,0.03
2458580.731,ZTF_g,19.41,0.06
2458580.91,ATLAS-o,18.21,0.07
2458582.91,ATLAS-c,19.15,0.09
2458583.758,ZTF_r,18.43,0.03
2458584.9,ATLAS-o,18.3,0.05
2458586.669,ZTF_g,19.49,0.11
2458586.712,ZTF_r,18.4,0.03
2458588.89,ATLAS-o,18.51,0.3
2458591.689,ZTF_g,19.6,0.21
2458591.857,ZTF_r,18.49,0.14
2458592.96,ATLAS-o,18.82,0.36
2458593.94,ATLAS-o,18.56,0.15
2458594.816,ZTF_r,18.76,0.1
2458596.89,ATLAS-o,18.67,0.13
2458598.684,ZTF_r,18.65,0.03
2458598.732,ZTF_g,19.78,0.07
2458598.88,ATLAS-o,18.72,0.14
2458600.759,ZTF_g,19.94,0.04
2458600.801,ZTF_r,18.94,0.02
2458600.844,ZTF_g,19.9,0.05
2458600.87,ATLAS-o,18.75,0.07
2458601.728,ZTF_g,19.96,0.1
2458601.756,ZTF_r,18.89,0.04
2458604.86,ATLAS-o,18.94,0.11
2458605.733,ZTF_g,19.99,0.1
2458608.714,ZTF_r,19.01,0.05
2458610.87,ATLAS-c,19.89,0.15
2458612.81,ATLAS-o,18.95,0.1
2458614.91,ATLAS-o,19.35,0.15
2458620.81,ATLAS-o,19.25,0.26
2458626.83,ATLAS-o,19.26,0.1
2458628.78,ATLAS-o,19.21,0.12
2458630.78,ATLAS-o,19.41,0.12
2458632.81,ATLAS-o,19.3,0.13
2458634.669,ZTF_r,19.42,0.08
2458634.693,ZTF_g,20.5,0.16
2458634.78,ATLAS-c,20.06,0.21
2458636.78,ATLAS-o,19.62,0.18
2458637.68,ZTF_r,19.45,0.08
