JD,Filter,mag,magunc
2457869.02,ATLAS-c,20.0,-99.0
2457870.04,ATLAS-c,20.16,-99.0
2457898.86,ATLAS-o,20.05,-99.0
2457918.77,ATLAS-o,20.11,-99.0
2457920.83,ATLAS-o,20.35,-99.0
2457927.82,ATLAS-o,20.16,-99.0
2457931.81,ATLAS-o,20.08,-99.0
2457946.76,ATLAS-o,20.04,-99.0
2457951.79,ATLAS-o,20.19,-99.0
2458131.11,ATLAS-o,20.58,-99.0
2458141.14,ATLAS-o,20.35,-99.0
2458161.13,ATLAS-o,20.37,-99.0
2458163.13,ATLAS-c,20.76,-99.0
2458164.13,ATLAS-c,20.21,-99.0
2458195.01,ATLAS-c,20.52,-99.0
2458197.07,ATLAS-o,20.05,-99.0
2458221.01,ATLAS-o,20.1,-99.0
2458222.01,ATLAS-o,20.12,-99.0
2458231.95,ATLAS-o,20.28,-99.0
2458254.93,ATLAS-c,20.38,-99.0
2458259.9,ATLAS-c,20.28,-99.0
2458274.87,ATLAS-o,20.35,-99.0
2458275.88,ATLAS-o,20.28,-99.0
2458281.86,ATLAS-o,20.12,-99.0
2458282.87,ATLAS-o,20.35,-99.0
2458284.87,ATLAS-o,20.0,-99.0
2458285.85,ATLAS-o,20.21,-99.0
2458286.87,ATLAS-c,20.49,-99.0
2458287.85,ATLAS-c,20.38,-99.0
2458307.82,ATLAS-c,20.41,-99.0
2458310.83,ATLAS-c,20.33,-99.0
2458311.81,ATLAS-c,20.33,-99.0
2458312.8,ATLAS-o,20.04,-99.0
2458315.79,ATLAS-c,20.19,-99.0
2458338.77,ATLAS-c,20.02,-99.0
2458487.16,ATLAS-c,20.52,-99.0
2458492.14,ATLAS-c,20.46,-99.0
2458493.13,ATLAS-o,20.38,-99.0
2458496.13,ATLAS-o,20.3,-99.0
2458497.11,ATLAS-o,20.16,-99.0
2458499.1,ATLAS-o,20.35,-99.0
2458517.09,ATLAS-o,20.0,-99.0
2458519.09,ATLAS-c,20.21,-99.0
2458521.09,ATLAS-o,20.11,-99.0
2458546.02,ATLAS-o,20.21,-99.0
2458557.97,ATLAS-o,20.04,-99.0
2458571.0,ATLAS-o,20.18,-99.0
2458572.98,ATLAS-o,20.25,-99.0
2458575.98,ATLAS-c,20.76,-99.0
2458577.97,ATLAS-o,20.51,-99.0
2458578.99,ATLAS-c,20.43,-99.0
2458582.97,ATLAS-c,20.82,-99.0
2458585.81,ATLAS-o,20.08,-99.0
2458607.94,ATLAS-c,20.21,-99.0
2458610.93,ATLAS-c,20.65,-99.0
2458611.94,ATLAS-c,20.49,-99.0
2458612.9,ATLAS-o,20.06,-99.0
2458613.87,ATLAS-o,20.02,-99.0
2458615.84,ATLAS-o,20.25,-99.0
2458627.85,ATLAS-o,20.28,-99.0
2458629.82,ATLAS-o,20.23,-99.0
2458631.89,ATLAS-o,20.15,-99.0
2458633.86,ATLAS-o,20.27,-99.0
2458634.84,ATLAS-c,20.41,-99.0
2458642.83,ATLAS-c,20.23,-99.0
2458667.79,ATLAS-c,20.14,-99.0
2458668.79,ATLAS-o,20.0,-99.0
2458670.79,ATLAS-o,20.0,-99.0
2458691.8,ATLAS-c,20.25,-99.0
2458826.15,ATLAS-o,20.21,-99.0
2458845.02,ATLAS-o,20.21,-99.0
2458847.14,ATLAS-c,20.46,-99.0
2458869.12,ATLAS-o,20.25,-99.0
2458872.01,ATLAS-c,20.28,-99.0
2458874.11,ATLAS-o,20.36,-99.0
2458875.13,ATLAS-c,20.65,-99.0
2458879.06,ATLAS-c,20.62,-99.0
2458885.07,ATLAS-o,20.61,-99.0
2458885.97,ATLAS-o,20.19,-99.0
2458901.96,ATLAS-o,20.41,-99.0
2458913.04,ATLAS-o,20.43,-99.0
2458913.94,ATLAS-o,20.25,-99.0
2458932.07,ATLAS-c,20.08,-99.0
2458952.96,ATLAS-o,20.38,-99.0
2458953.96,ATLAS-o,20.16,-99.0
2458956.9,ATLAS-o,20.63,-99.0
2458957.88,ATLAS-o,20.39,-99.0
2458958.92,ATLAS-c,20.43,-99.0
2458959.84,ATLAS-c,20.27,-99.0
2458961.91,ATLAS-o,20.43,-99.0
2458965.94,ATLAS-o,20.08,-99.0
2458967.9,ATLAS-c,20.62,-99.0
2458968.91,ATLAS-o,20.49,-99.0
2458969.89,ATLAS-o,20.58,-99.0
2458979.92,ATLAS-o,20.0,-99.0
2458981.86,ATLAS-o,20.41,-99.0
2458983.87,ATLAS-c,20.68,-99.0
2458986.89,ATLAS-c,20.84,-99.0
2458989.84,ATLAS-o,20.46,-99.0
