JD,Filter,mag,magunc
2457479.96,ATLAS-c,20.0,-99.0
2457489.92,ATLAS-c,20.04,-99.0
2457513.87,ATLAS-c,20.06,-99.0
2457762.1,ATLAS-o,20.11,-99.0
2457778.1,ATLAS-c,20.19,-99.0
2457782.09,ATLAS-c,20.24,-99.0
2457817.97,ATLAS-c,20.18,-99.0
2457885.87,ATLAS-o,19.42,0.2
2457889.87,ATLAS-o,20.33,-99.0
2457893.88,ATLAS-c,20.62,-99.0
2457899.79,ATLAS-o,20.14,-99.0
2457901.85,ATLAS-c,20.25,-99.0
2457903.77,ATLAS-o,20.06,-99.0
2457926.8,ATLAS-o,20.19,-99.0
2457928.79,ATLAS-o,20.04,-99.0
2458110.16,ATLAS-o,19.43,0.16
2458118.08,ATLAS-o,20.17,-99.0
2458128.11,ATLAS-o,20.23,-99.0
2458136.16,ATLAS-c,20.21,-99.0
2458138.14,ATLAS-o,20.14,-99.0
2458168.09,ATLAS-c,20.36,-99.0
2458194.97,ATLAS-c,20.03,-99.0
2458221.97,ATLAS-o,20.04,-99.0
2458246.792,ZTF_g,20.96,0.25
2458254.92,ATLAS-o,20.19,-99.0
2458259.87,ATLAS-c,20.12,-99.0
2458263.735,ZTF_r,21.69,-99.0
2458263.759,ZTF_g,21.59,-99.0
2458263.89,ATLAS-o,19.8,0.3
2458273.86,ATLAS-o,20.31,-99.0
2458275.86,ATLAS-o,20.26,-99.0
2458279.87,ATLAS-c,20.28,-99.0
2458285.84,ATLAS-o,20.08,-99.0
2458287.83,ATLAS-c,20.13,-99.0
2458291.83,ATLAS-o,20.04,0.25
2458307.82,ATLAS-c,20.54,-99.0
2458311.83,ATLAS-c,20.06,-99.0
2458434.985,ZTF_r,19.15,0.16
2458488.12,ATLAS-c,20.41,-99.0
2458492.12,ATLAS-c,20.18,-99.0
2458494.09,ATLAS-o,20.1,-99.0
2458496.1,ATLAS-o,20.14,-99.0
2458498.08,ATLAS-o,20.05,-99.0
2458518.06,ATLAS-o,20.12,-99.0
2458520.07,ATLAS-c,20.45,-99.0
2458550.01,ATLAS-o,20.19,-99.0
2458557.96,ATLAS-o,20.0,-99.0
2458558.713,ZTF_r,19.81,0.22
2458569.96,ATLAS-o,20.12,-99.0
2458571.95,ATLAS-o,20.16,-99.0
2458573.95,ATLAS-o,20.0,-99.0
