JD,Filter,mag,magunc
2457608.06,ATLAS-c,20.73,0.34
2457631.01,ATLAS-c,20.0,-99.0
2457638.98,ATLAS-c,20.21,-99.0
2457696.87,ATLAS-c,20.08,-99.0
2457744.77,ATLAS-c,20.02,-99.0
2457956.09,ATLAS-o,20.1,-99.0
2457960.08,ATLAS-o,20.06,-99.0
2457962.1,ATLAS-o,20.05,-99.0
2457964.04,ATLAS-o,20.08,-99.0
2457968.05,ATLAS-o,20.11,-99.0
2457970.07,ATLAS-o,20.49,-99.0
2457979.06,ATLAS-o,20.02,-99.0
2457981.04,ATLAS-o,20.16,-99.0
2457983.04,ATLAS-c,20.76,-99.0
2457987.04,ATLAS-c,20.08,-99.0
2457992.96,ATLAS-o,20.4,-99.0
2457994.98,ATLAS-o,20.68,-99.0
2457998.95,ATLAS-o,20.25,-99.0
2458010.92,ATLAS-o,20.74,-99.0
2458016.91,ATLAS-o,20.02,-99.0
2458018.91,ATLAS-c,20.46,-99.0
2458022.89,ATLAS-o,20.7,-99.0
2458026.9,ATLAS-o,20.46,-99.0
2458036.88,ATLAS-o,20.1,-99.0
2458037.88,ATLAS-o,20.46,-99.0
2458048.85,ATLAS-o,20.1,-99.0
2458066.83,ATLAS-o,20.28,-99.0
2458070.82,ATLAS-o,20.21,-99.0
2458072.81,ATLAS-o,20.12,-99.0
2458074.82,ATLAS-c,20.43,-99.0
2458078.82,ATLAS-c,20.41,-99.0
2458080.8,ATLAS-o,20.04,-99.0
2458082.79,ATLAS-c,20.08,-99.0
2458096.77,ATLAS-o,20.16,-99.0
2458134.75,ATLAS-c,20.41,-99.0
2458136.74,ATLAS-o,20.0,-99.0
2458337.1,ATLAS-o,20.05,-99.0
2458339.1,ATLAS-c,20.54,-99.0
2458342.08,ATLAS-o,20.08,-99.0
2458343.1,ATLAS-c,20.41,-99.0
2458352.04,ATLAS-o,20.38,-99.0
2458363.05,ATLAS-o,20.37,-99.0
2458368.03,ATLAS-o,20.3,-99.0
2458371.03,ATLAS-o,20.37,-99.0
2458372.02,ATLAS-o,20.38,-99.0
2458376.02,ATLAS-c,20.52,-99.0
2458376.99,ATLAS-o,20.21,-99.0
2458378.99,ATLAS-o,20.28,-99.0
2458379.99,ATLAS-o,20.33,-99.0
2458390.97,ATLAS-o,20.04,-99.0
2458392.98,ATLAS-o,20.21,-99.0
2458394.96,ATLAS-o,20.33,-99.0
2458395.99,ATLAS-c,20.32,-99.0
2458402.95,ATLAS-c,20.61,-99.0
2458406.92,ATLAS-o,20.26,-99.0
2458423.89,ATLAS-o,20.1,-99.0
2458428.88,ATLAS-o,20.32,-99.0
2458430.89,ATLAS-c,20.58,-99.0
2458431.9,ATLAS-c,20.41,-99.0
2458432.87,ATLAS-o,20.35,-99.0
2458434.86,ATLAS-c,20.21,-99.0
2458436.85,ATLAS-o,20.02,-99.0
2458450.83,ATLAS-o,20.58,-99.0
2458454.82,ATLAS-c,20.43,-99.0
2458456.8,ATLAS-o,20.0,-99.0
2458460.78,ATLAS-o,20.33,-99.0
2458462.8,ATLAS-c,20.33,-99.0
2458486.76,ATLAS-c,20.3,-99.0
2458494.73,ATLAS-c,20.06,-99.0
2458506.73,ATLAS-o,20.06,-99.0
2458647.1,ATLAS-o,20.08,-99.0
2458667.11,ATLAS-c,20.27,-99.0
2458671.08,ATLAS-o,20.19,-99.0
2458677.07,ATLAS-o,20.33,-99.0
2458679.12,ATLAS-o,20.1,-99.0
2458691.05,ATLAS-o,20.49,-99.0
2458693.06,ATLAS-o,20.23,-99.0
2458695.1,ATLAS-c,20.58,-99.0
2458697.06,ATLAS-o,20.16,-99.0
