JD,Filter,mag,magunc
2457398.78,ATLAS-c,19.94,0.33
2457970.1,ATLAS-o,20.25,-99.0
2457983.09,ATLAS-c,20.21,-99.0
2457987.06,ATLAS-c,20.03,-99.0
2457995.03,ATLAS-o,20.3,-99.0
2458010.97,ATLAS-o,20.05,-99.0
2458018.95,ATLAS-c,20.25,-99.0
2458022.93,ATLAS-o,20.16,-99.0
2458054.89,ATLAS-o,20.14,-99.0
2458070.86,ATLAS-o,20.11,-99.0
2458074.86,ATLAS-c,20.42,-99.0
2458078.85,ATLAS-c,20.49,-99.0
2458130.77,ATLAS-o,20.19,-99.0
2458134.79,ATLAS-c,20.23,-99.0
2458349.11,ATLAS-o,20.06,-99.0
2458351.11,ATLAS-o,20.25,-99.0
2458371.07,ATLAS-o,20.19,-99.0
2458375.874,ZTF_r,21.23,0.29
2458375.921,ZTF_g,21.07,0.27
2458376.828,ZTF_g,21.03,0.21
2458376.831,ZTF_g,21.11,0.23
2458376.913,ZTF_r,20.79,0.22
2458376.914,ZTF_r,21.05,0.27
2458377.858,ZTF_g,21.02,0.25
2458377.917,ZTF_r,20.23,0.14
2458378.85,ZTF_g,20.54,0.14
2458378.91,ZTF_r,20.42,0.17
2458379.04,ATLAS-o,20.11,0.21
2458379.874,ZTF_g,20.37,0.12
2458379.875,ZTF_g,20.42,0.15
2458379.898,ZTF_r,19.91,0.1
2458379.899,ZTF_r,20.04,0.1
2458380.833,ZTF_r,20.2,0.17
2458380.86,ZTF_g,20.31,0.11
2458381.04,ATLAS-o,19.9,0.32
2458382.835,ZTF_r,19.59,0.13
2458382.854,ZTF_r,19.51,0.09
2458383.01,ATLAS-o,19.6,0.21
2458383.881,ZTF_r,19.27,0.11
2458383.922,ZTF_g,19.89,0.18
2458384.855,ZTF_g,19.78,0.24
2458385.833,ZTF_r,19.69,0.28
2458385.834,ZTF_r,19.16,0.17
2458389.822,ZTF_r,19.48,0.12
2458389.838,ZTF_g,19.43,0.13
2458389.893,ZTF_g,19.58,0.11
2458390.852,ZTF_g,19.72,0.13
2458391.02,ATLAS-o,19.52,0.17
2458393.02,ATLAS-o,19.87,0.27
2458395.0,ATLAS-o,20.35,0.31
2458397.791,ZTF_r,19.94,0.11
2458397.841,ZTF_g,20.17,0.1
2458402.99,ATLAS-c,20.5,0.35
2458406.96,ATLAS-o,20.54,0.34
2458425.78,ZTF_r,20.89,0.22
2458428.712,ZTF_g,21.14,0.27
2458430.94,ATLAS-c,20.43,-99.0
2458450.87,ATLAS-o,20.0,-99.0
2458454.86,ATLAS-c,20.46,0.31
2458462.84,ATLAS-c,20.65,0.33
2458474.631,ZTF_r,20.06,0.23
2458478.8,ATLAS-o,19.79,0.17
2458480.79,ATLAS-o,19.88,0.25
2458486.8,ATLAS-c,20.79,0.36
2458487.605,ZTF_r,20.0,0.13
2458487.606,ZTF_r,20.13,0.13
2458487.666,ZTF_g,20.95,0.29
2458488.78,ATLAS-o,19.95,0.25
2458490.646,ZTF_r,20.18,0.19
2458490.79,ATLAS-c,20.29,-99.0
2458494.75,ATLAS-c,20.26,-99.0
2458498.76,ATLAS-o,20.19,0.27
2458503.611,ZTF_r,19.86,0.26
2458506.74,ATLAS-o,20.33,0.27
2458512.75,ATLAS-o,19.79,0.3
2458647.07,ATLAS-o,20.04,-99.0
2458667.09,ATLAS-c,20.49,-99.0
2458691.08,ATLAS-o,20.33,-99.0
2458695.02,ATLAS-c,20.46,-99.0
2458702.98,ATLAS-c,20.18,-99.0
2458725.06,ATLAS-o,20.28,-99.0
2458726.99,ATLAS-c,20.43,-99.0
2458752.98,ATLAS-o,20.41,-99.0
2458756.94,ATLAS-o,20.08,-99.0
2458778.9,ATLAS-c,20.06,-99.0
2458780.95,ATLAS-o,20.21,-99.0
2458784.91,ATLAS-o,20.21,-99.0
2458790.83,ATLAS-o,20.21,-99.0
2458808.86,ATLAS-o,20.3,-99.0
2458812.81,ATLAS-o,20.21,-99.0
2458816.84,ATLAS-o,20.3,-99.0
2458836.78,ATLAS-o,20.25,-99.0
2458846.77,ATLAS-c,20.25,-99.0
2458866.81,ATLAS-c,20.02,-99.0
2459031.08,ATLAS-c,20.08,-99.0
2459033.1,ATLAS-o,20.25,-99.0
2459049.08,ATLAS-o,20.04,-99.0
2459051.07,ATLAS-c,20.21,-99.0
2459059.03,ATLAS-c,20.21,-99.0
2459061.0,ATLAS-o,20.08,-99.0
2459064.0,ATLAS-o,inf,-99.0
2459075.07,ATLAS-o,20.05,-99.0
2459077.02,ATLAS-o,20.19,-99.0
2459080.98,ATLAS-o,20.21,-99.0
2459083.01,ATLAS-c,20.05,-99.0
2459085.02,ATLAS-o,20.08,-99.0
2459087.0,ATLAS-c,20.05,-99.0
2459088.99,ATLAS-o,20.3,-99.0
2459100.97,ATLAS-o,20.14,-99.0
2459102.96,ATLAS-o,20.0,-99.0
2459104.97,ATLAS-o,20.33,-99.0
2459107.01,ATLAS-c,20.28,-99.0
2459108.92,ATLAS-o,20.18,-99.0
2459110.93,ATLAS-c,20.35,-99.0
2459112.94,ATLAS-o,20.21,-99.0
2459114.94,ATLAS-c,20.08,-99.0
2459131.02,ATLAS-o,20.7,-99.0
2459132.89,ATLAS-o,20.23,-99.0
2459135.04,ATLAS-o,20.0,-99.0
2459136.93,ATLAS-o,20.23,-99.0
2459142.86,ATLAS-c,20.29,-99.0
2459145.86,ATLAS-o,20.1,-99.0
2459156.88,ATLAS-o,20.0,-99.0
2459161.86,ATLAS-c,20.33,-99.0
2459170.84,ATLAS-c,20.15,-99.0
2459189.84,ATLAS-c,20.21,-99.0
2459194.81,ATLAS-c,20.3,-99.0
2459198.76,ATLAS-c,20.25,-99.0
2459216.79,ATLAS-o,20.1,-99.0
2459218.84,ATLAS-c,20.04,-99.0
2459220.75,ATLAS-c,20.38,-99.0
2459222.78,ATLAS-c,20.23,-99.0
2459224.78,ATLAS-c,20.19,-99.0
2459226.78,ATLAS-c,20.19,-99.0
2459401.11,ATLAS-o,20.28,-99.0
2459405.08,ATLAS-o,20.38,-99.0
2459409.06,ATLAS-o,20.16,-99.0
2459413.06,ATLAS-o,20.19,-99.0
2459415.05,ATLAS-c,20.35,-99.0
2459417.06,ATLAS-o,20.28,-99.0
2459433.07,ATLAS-c,20.46,-99.0
2459435.04,ATLAS-o,20.23,-99.0
2459437.03,ATLAS-c,20.58,-99.0
2459441.02,ATLAS-c,20.35,-99.0
2459443.01,ATLAS-o,20.18,-99.0
2459457.0,ATLAS-o,20.02,-99.0
2459462.98,ATLAS-c,20.18,-99.0
2459464.97,ATLAS-o,20.25,-99.0
2459466.98,ATLAS-c,20.38,-99.0
2459470.94,ATLAS-c,20.3,-99.0
2459486.91,ATLAS-o,20.08,-99.0
2459490.94,ATLAS-o,20.12,-99.0
2459518.89,ATLAS-c,20.41,-99.0
2459520.9,ATLAS-o,20.02,-99.0
2459546.86,ATLAS-o,20.16,-99.0
