JD,Filter,mag,magunc
2457487.99,ATLAS-c,20.0,-99.0
2457542.88,ATLAS-c,20.13,-99.0
2457790.11,ATLAS-o,20.07,-99.0
2457887.96,ATLAS-o,19.92,0.29
2457889.94,ATLAS-o,20.24,-99.0
2457891.93,ATLAS-o,20.0,-99.0
2457892.94,ATLAS-o,20.29,-99.0
2457893.95,ATLAS-c,20.71,-99.0
2457895.93,ATLAS-o,20.02,0.27
2457899.91,ATLAS-o,20.16,-99.0
2457900.91,ATLAS-o,20.35,-99.0
2457901.92,ATLAS-c,20.51,-99.0
2457903.89,ATLAS-o,19.46,0.14
2457915.89,ATLAS-o,20.0,0.35
2457920.88,ATLAS-o,20.3,-99.0
2457924.87,ATLAS-o,20.18,-99.0
2457926.87,ATLAS-o,20.33,-99.0
2457928.87,ATLAS-o,20.54,0.32
2457932.85,ATLAS-o,20.25,-99.0
2457950.82,ATLAS-o,20.19,-99.0
2457952.81,ATLAS-o,20.15,0.23
2457960.79,ATLAS-o,20.35,-99.0
2457966.79,ATLAS-o,20.06,-99.0
2457977.79,ATLAS-o,19.22,0.1
2457979.8,ATLAS-o,20.23,-99.0
2457981.79,ATLAS-o,20.16,-99.0
2457983.76,ATLAS-c,20.62,0.26
2457985.79,ATLAS-o,19.14,0.11
2457989.81,ATLAS-o,19.11,0.14
2457995.81,ATLAS-o,18.84,0.25
2458222.05,ATLAS-o,20.3,-99.0
2458222.805,ZTF_r,20.13,0.18
2458227.879,ZTF_i,19.96,0.26
2458248.835,ZTF_g,21.09,0.27
2458249.797,ZTF_i,19.26,0.19
2458254.882,ZTF_i,19.79,0.17
2458257.94,ATLAS-o,20.26,0.25
2458259.0,ATLAS-o,20.09,-99.0
2458259.94,ATLAS-c,20.54,-99.0
2458272.852,ZTF_i,19.99,0.26
2458274.95,ATLAS-o,20.16,-99.0
2458279.92,ATLAS-c,20.33,-99.0
2458281.91,ATLAS-o,20.31,-99.0
2458285.91,ATLAS-o,20.16,-99.0
2458287.9,ATLAS-c,20.21,-99.0
2458289.9,ATLAS-o,20.0,-99.0
2458303.88,ATLAS-o,20.23,-99.0
2458307.89,ATLAS-c,20.58,-99.0
2458311.671,ZTF_r,20.39,0.23
2458311.89,ATLAS-c,20.43,-99.0
2458313.85,ATLAS-o,20.1,-99.0
2458315.87,ATLAS-c,20.46,-99.0
2458317.83,ATLAS-o,20.13,-99.0
2458333.81,ATLAS-o,20.52,0.33
2458335.83,ATLAS-c,20.8,-99.0
2458365.8,ATLAS-o,18.72,0.22
2458502.08,ATLAS-o,19.21,0.16
2458506.17,ATLAS-o,18.82,0.26
2458508.12,ATLAS-o,20.06,0.25
2458510.14,ATLAS-o,19.01,0.17
2458514.14,ATLAS-o,20.24,-99.0
2458518.12,ATLAS-o,19.24,0.09
2458520.14,ATLAS-c,20.84,-99.0
2458522.973,ZTF_g,20.48,0.22
2458530.06,ATLAS-o,20.04,-99.0
2458534.911,ZTF_r,19.25,0.2
2458540.833,ZTF_r,18.76,0.07
2458542.09,ATLAS-o,20.14,-99.0
2458546.07,ATLAS-o,20.19,-99.0
2458550.07,ATLAS-o,19.54,0.15
2458558.01,ATLAS-o,19.88,0.16
2458558.776,ZTF_r,19.88,0.22
2458566.04,ATLAS-o,19.89,0.35
2458570.02,ATLAS-o,20.23,-99.0
2458572.01,ATLAS-o,20.23,-99.0
2458572.916,ZTF_i,18.73,0.12
2458576.03,ATLAS-c,19.91,0.15
2458578.01,ATLAS-o,20.08,-99.0
2458580.02,ATLAS-c,20.49,-99.0
2458580.83,ZTF_r,20.7,0.25
2458582.01,ATLAS-o,20.37,-99.0
2458583.99,ATLAS-c,20.41,-99.0
2458585.84,ATLAS-o,19.93,0.24
2458597.97,ATLAS-o,19.82,0.18
2458599.01,ATLAS-o,20.37,-99.0
2458599.797,ZTF_g,21.78,-99.0
2458599.96,ATLAS-o,20.08,-99.0
2458603.98,ATLAS-c,20.58,-99.0
2458605.96,ATLAS-o,20.12,-99.0
2458607.98,ATLAS-c,20.22,0.23
2458609.95,ATLAS-o,19.99,0.29
2458612.06,ATLAS-c,20.38,-99.0
2458613.88,ATLAS-o,19.87,0.2
2458631.81,ATLAS-o,20.3,-99.0
2458633.89,ATLAS-o,19.47,0.12
2458635.89,ATLAS-c,20.48,-99.0
2458636.776,ZTF_g,21.26,0.27
2458638.746,ZTF_r,20.77,0.2
2458639.84,ATLAS-c,20.4,-99.0
2458641.82,ATLAS-o,19.78,0.18
2458643.89,ATLAS-o,20.21,-99.0
2458659.85,ATLAS-o,20.21,-99.0
