JD,Filter,mag,magunc
2457402.14,ATLAS-c,20.06,-99.0
2457453.09,ATLAS-c,20.04,-99.0
2457817.03,ATLAS-c,20.15,-99.0
2457892.92,ATLAS-o,20.21,-99.0
2457900.9,ATLAS-c,20.28,-99.0
2457902.82,ATLAS-o,20.02,-99.0
2457918.77,ATLAS-o,20.21,-99.0
2457920.82,ATLAS-o,20.33,-99.0
2457931.8,ATLAS-o,20.04,-99.0
2457949.78,ATLAS-o,20.3,-99.0
2458113.12,ATLAS-o,20.09,-99.0
2458117.12,ATLAS-o,20.06,-99.0
2458129.1,ATLAS-o,20.06,-99.0
2458131.09,ATLAS-o,20.43,-99.0
2458161.11,ATLAS-o,20.14,-99.0
2458194.99,ATLAS-c,20.29,-99.0
2458197.05,ATLAS-o,20.03,-99.0
2458254.91,ATLAS-c,20.57,-99.0
2458274.83,ATLAS-o,20.06,-99.0
2458282.86,ATLAS-o,20.06,-99.0
2458286.85,ATLAS-c,20.25,-99.0
2458310.8,ATLAS-c,20.19,-99.0
2458487.14,ATLAS-c,20.29,-99.0
2458493.12,ATLAS-o,20.5,-99.0
2458495.1,ATLAS-c,20.58,-99.0
2458497.1,ATLAS-o,20.19,-99.0
2458499.09,ATLAS-o,20.33,-99.0
2458513.07,ATLAS-o,20.0,-99.0
2458517.08,ATLAS-o,20.12,-99.0
2458519.09,ATLAS-c,20.58,-99.0
2458521.07,ATLAS-o,20.21,-99.0
2458545.03,ATLAS-o,20.14,-99.0
2458557.0,ATLAS-o,20.25,-99.0
2458570.98,ATLAS-o,20.15,-99.0
2458578.97,ATLAS-c,20.77,-99.0
2458580.95,ATLAS-o,20.3,-99.0
2458582.96,ATLAS-c,20.47,-99.0
2458600.92,ATLAS-o,20.21,-99.0
2458604.92,ATLAS-o,20.42,-99.0
2458614.88,ATLAS-o,20.19,-99.0
2458630.83,ATLAS-o,20.18,-99.0
2458634.83,ATLAS-c,20.58,-99.0
2458636.82,ATLAS-o,20.23,-99.0
2458642.82,ATLAS-c,20.25,-99.0
2458654.79,ATLAS-o,20.21,-99.0
2458666.77,ATLAS-c,20.21,-99.0
2458670.77,ATLAS-o,20.08,-99.0
2458827.14,ATLAS-o,20.23,-99.0
2458845.08,ATLAS-o,20.46,-99.0
2458847.07,ATLAS-c,20.25,-99.0
2458869.08,ATLAS-o,20.18,-99.0
2458875.1,ATLAS-c,20.52,-99.0
2458877.07,ATLAS-o,20.33,-99.0
2458883.05,ATLAS-c,20.65,-99.0
2458885.06,ATLAS-o,20.3,-99.0
2458901.08,ATLAS-o,20.38,-99.0
2458903.0,ATLAS-c,20.36,-99.0
2458905.06,ATLAS-o,20.23,-99.0
2458913.03,ATLAS-o,20.49,-99.0
2458952.95,ATLAS-o,20.43,-99.0
2458956.89,ATLAS-o,20.55,-99.0
2458958.89,ATLAS-c,20.55,-99.0
2458960.92,ATLAS-o,20.05,-99.0
2458966.9,ATLAS-c,20.49,-99.0
2458968.89,ATLAS-o,20.11,-99.0
2458970.89,ATLAS-o,20.0,-99.0
2458982.89,ATLAS-c,20.41,-99.0
2458984.91,ATLAS-o,20.25,-99.0
2458986.88,ATLAS-c,20.58,-99.0
2458988.86,ATLAS-o,20.49,-99.0
2458990.84,ATLAS-c,20.58,-99.0
2458992.84,ATLAS-o,20.25,-99.0
2458994.85,ATLAS-c,20.25,-99.0
2459016.81,ATLAS-o,20.1,-99.0
2459022.79,ATLAS-c,20.41,-99.0
2459024.77,ATLAS-o,20.43,-99.0
2459026.78,ATLAS-o,20.21,-99.0
2459036.76,ATLAS-o,20.08,-99.0
2459042.8,ATLAS-c,20.23,-99.0
2459044.77,ATLAS-o,20.32,-99.0
2459195.14,ATLAS-c,20.11,-99.0
2459205.13,ATLAS-c,20.55,-99.0
2459207.1,ATLAS-c,20.46,-99.0
2459209.13,ATLAS-c,20.18,-99.0
2459223.13,ATLAS-o,20.12,-99.0
2459225.1,ATLAS-c,20.46,-99.0
2459227.08,ATLAS-c,20.58,-99.0
2459229.07,ATLAS-c,20.49,-99.0
2459231.05,ATLAS-c,20.32,-99.0
2459233.06,ATLAS-c,20.46,-99.0
2459244.99,ATLAS-o,19.99,0.35
2459249.11,ATLAS-o,19.0,0.11
2459249.913,ZTF_r,18.37,0.05
2459249.936,ZTF_g,18.37,0.06
2459251.962,ZTF_r,18.18,0.03
2459253.09,ATLAS-o,19.04,0.08
2459253.879,ZTF_g,18.2,0.03
2459253.987,ZTF_r,18.06,0.02
2459255.878,ZTF_g,18.52,0.02
2459255.916,ZTF_r,18.31,0.02
2459256.99,ATLAS-c,18.43,0.03
2459257.879,ZTF_g,18.58,0.05
2459258.99,ATLAS-c,18.58,0.05
2459260.97,ATLAS-c,18.85,0.05
2459262.861,ZTF_r,18.99,0.05
2459262.917,ZTF_g,19.44,0.18
2459263.08,ATLAS-c,19.25,0.08
2459264.873,ZTF_r,19.09,0.04
2459265.874,ZTF_r,19.22,0.06
2459266.86,ZTF_r,19.27,0.11
2459267.918,ZTF_r,19.26,0.08
2459268.852,ZTF_r,19.27,0.08
2459268.936,ZTF_g,19.66,0.1
2459268.97,ATLAS-o,19.21,0.11
2459269.874,ZTF_r,19.25,0.07
2459270.855,ZTF_r,19.62,0.19
2459270.9,ZTF_g,19.52,0.16
2459270.99,ATLAS-o,19.17,0.18
2459272.942,ZTF_r,19.65,0.29
2459275.882,ZTF_r,19.49,0.17
2459275.883,ZTF_r,19.5,0.16
2459275.943,ZTF_g,19.76,0.22
2459275.944,ZTF_g,19.44,0.15
2459277.04,ATLAS-o,19.47,0.17
2459278.817,ZTF_g,19.77,0.1
2459278.925,ZTF_r,19.16,0.07
2459280.785,ZTF_r,19.31,0.06
2459280.897,ZTF_g,19.79,0.1
2459280.97,ATLAS-o,19.38,0.08
2459281.788,ZTF_r,19.31,0.07
2459285.08,ATLAS-o,19.38,0.09
2459288.93,ATLAS-o,19.33,0.08
2459290.797,ZTF_g,19.92,0.08
2459290.84,ZTF_r,19.34,0.06
2459290.879,ZTF_r,19.34,0.06
2459290.916,ZTF_g,19.9,0.08
2459291.788,ZTF_g,20.17,0.12
2459291.789,ZTF_g,20.17,0.12
2459291.794,ZTF_g,20.01,0.1
2459291.85,ZTF_r,19.38,0.05
2459291.853,ZTF_r,19.32,0.06
2459292.854,ZTF_r,19.4,0.06
2459292.879,ZTF_r,19.46,0.07
2459292.99,ATLAS-o,19.79,0.15
2459293.735,ZTF_r,19.51,0.1
2459293.754,ZTF_r,19.51,0.08
2459293.795,ZTF_g,20.05,0.12
2459295.737,ZTF_r,19.92,0.18
2459295.774,ZTF_g,20.31,0.26
2459295.878,ZTF_r,19.51,0.08
2459296.773,ZTF_g,20.24,0.23
2459296.85,ZTF_r,19.83,0.18
2459296.858,ZTF_r,19.67,0.14
2459297.09,ATLAS-o,19.72,0.14
2459298.879,ZTF_r,19.91,0.27
2459298.879,ZTF_r,19.62,0.19
2459304.811,ZTF_r,19.99,0.3
2459306.768,ZTF_r,20.11,0.13
2459306.854,ZTF_g,20.81,0.29
2459306.9,ATLAS-o,20.24,0.27
2459306.957,ZTF_r,19.99,0.17
2459307.732,ZTF_r,20.32,0.17
2459307.754,ZTF_r,20.28,0.14
2459307.873,ZTF_r,20.36,0.16
2459308.771,ZTF_g,20.74,0.16
2459308.774,ZTF_r,20.49,0.16
2459308.859,ZTF_g,21.01,0.23
2459308.89,ATLAS-c,20.52,-99.0
2459308.943,ZTF_r,20.44,0.22
2459309.735,ZTF_r,19.85,0.24
2459309.776,ZTF_r,20.12,0.12
2459309.777,ZTF_r,20.27,0.16
2459311.734,ZTF_g,20.62,0.21
2459311.773,ZTF_g,20.76,0.21
2459311.81,ZTF_r,20.46,0.17
2459311.812,ZTF_r,20.17,0.11
2459312.804,ZTF_r,20.35,0.15
2459312.89,ATLAS-c,20.68,-99.0
2459313.756,ZTF_g,20.96,0.22
2459313.798,ZTF_r,20.43,0.24
2459315.734,ZTF_r,20.52,0.15
2459316.811,ZTF_r,20.65,0.18
2459316.816,ZTF_g,21.48,0.29
2459317.708,ZTF_r,20.54,0.16
2459317.774,ZTF_g,21.24,0.27
2459317.831,ZTF_r,20.53,0.17
2459317.832,ZTF_r,20.41,0.16
2459319.729,ZTF_r,20.78,0.24
2459319.86,ZTF_r,21.03,0.3
2459321.746,ZTF_g,21.3,0.3
2459321.771,ZTF_g,21.01,0.2
2459321.776,ZTF_r,20.27,0.12
2459321.798,ZTF_r,20.67,0.15
2459321.798,ZTF_r,20.49,0.15
2459323.778,ZTF_g,20.65,0.22
2459324.95,ATLAS-o,20.91,0.3
2459325.778,ZTF_r,20.63,0.25
2459336.777,ZTF_g,21.4,0.3
2459336.811,ZTF_r,20.5,0.18
2459338.789,ZTF_r,20.9,0.27
2459338.97,ATLAS-c,20.0,-99.0
2459339.755,ZTF_r,20.91,0.24
2459339.772,ZTF_r,21.09,0.25
2459341.799,ZTF_g,21.21,0.25
2459342.754,ZTF_r,20.78,0.2
2459342.775,ZTF_r,20.96,0.3
2459342.799,ZTF_r,20.79,0.23
2459342.88,ATLAS-c,20.49,-99.0
2459344.746,ZTF_r,21.12,0.26
2459344.754,ZTF_g,21.39,0.25
2459344.89,ATLAS-o,20.19,-99.0
2459346.87,ATLAS-c,20.45,-99.0
2459348.85,ATLAS-o,20.62,-99.0
2459349.676,ZTF_r,20.63,0.17
2459349.677,ZTF_r,20.71,0.21
2459349.778,ZTF_r,20.57,0.17
2459350.768,ZTF_r,20.33,0.22
2459350.91,ATLAS-c,20.21,-99.0
2459351.83,ATLAS-o,20.14,-99.0
2459352.86,ATLAS-o,20.94,0.35
2459363.707,ZTF_r,21.12,0.3
2459364.82,ATLAS-o,20.18,-99.0
2459366.86,ATLAS-o,20.79,0.32
2459368.85,ATLAS-c,20.68,-99.0
2459369.682,ZTF_r,21.13,0.27
2459369.708,ZTF_r,21.26,0.29
2459370.83,ATLAS-o,20.25,-99.0
2459372.81,ATLAS-c,20.36,-99.0
2459374.8,ATLAS-o,20.76,0.35
2459376.82,ATLAS-c,20.62,-99.0
2459378.85,ATLAS-o,20.19,-99.0
2459380.79,ATLAS-c,20.46,-99.0
2459392.82,ATLAS-o,20.23,-99.0
2459396.81,ATLAS-o,20.32,-99.0
2459400.77,ATLAS-o,20.41,-99.0
2459402.79,ATLAS-c,20.08,-99.0
2459404.76,ATLAS-o,20.3,-99.0
2459581.08,ATLAS-o,20.08,-99.0
2459585.07,ATLAS-o,20.1,-99.0
2459589.05,ATLAS-o,20.19,-99.0
2459593.09,ATLAS-o,20.12,-99.0
